model,Doc2Vec100,Doc2Vec50,Bag of Words,"Doc2Vec100: Name, BOW: Steps, Ingr ",Column1
Logistic Regression,0.7184,0.7137,0.7958,0.7931,0.7971
Random Forest,0.6863,0.6934,0.7643,0.7602,0.7894
XGBoost,0.7217,0.717,0.811,0.8034,0.7999
LinearSVC,0.7157,0.7116,0.7911,0.7912,0.7946
Average Score,0.710525,0.708925,0.79055,0.786975,0.79525
,,,,,
Model,Bag of Words,"Doc2Vec100: Name, BOW: Steps, Ingr ",,,
Logistic Regression,0.7958,0.7931,,,
Random Forest,0.7643,0.7602,,,
XGBoost,0.811,0.8034,,,
LinearSVC,0.7911,0.7912,,,
,,,,,
Model,Bag of Words,"D2V100: {Name}, BoW: {Steps, Ingr}.",,,
Average Score,0.79055,0.786975,,,
Average Time to Run (s),860.32,8.654813409,,,
